0.00305210753185829,0.0149568990713092,0.0589530289216092,0.0923467079713258,0.0475590517768549,0.00834609621111799,0.000527271940750226
0.00300160152904801,0.0146507260366844,0.0582839375841052,0.0922801156777445,0.0477519573907917,0.0083896959476226,0.00053762262953049
0.00283310131210257,0.013638257160466,0.0560254290943221,0.0920499207341612,0.048425928269351,0.00854242042371272,0.000575055426795488
0.00275979289211826,0.013202202611196,0.0550296490774015,0.0919456533295968,0.0487348899089388,0.00861263720283392,0.000592890677405857
0.00272495055700168,0.0129959275059235,0.0545534198418803,0.0918951557414326,0.0488853646839004,0.00864688193880116,0.000601735594417673
0.00258536651394815,0.0121759023522027,0.0526260298251249,0.0916865008643101,0.0495129173915729,0.0087900227286024,0.00063974883530179
0.00260795862043743,0.0123079346957161,0.0529401339622831,0.091720979785927,0.0494085780583628,0.00876618792937808,0.000633302618306707
0.00252942503199817,0.011850191885362,0.0518444078453578,0.0915998379744645,0.0497763516458895,0.00885026617849269,0.000656261323223747
0.0021762954921941,0.00983515664056778,0.0467767350414389,0.0910063076797101,0.0516256303880959,0.00927573019205921,0.000781918849948805
0.00217338954069366,0.0098188729580313,0.0467340287738915,0.0910010617252525,0.0516423223451403,0.00927959013791826,0.000783131347354595
0.00222448234460717,0.0101058192845914,0.0474826753680384,0.0910924749133758,0.051352230898403,0.00921255117747464,0.000762238887861647
0.00206798427490663,0.00923209795517014,0.0451714582648611,0.0908056929286435,0.052268902302428,0.00942476441374739,0.000829829319970576
0.00219725328491473,0.00995270192946578,0.047084364491146,0.0910440046850485,0.051505812786777,0.00924803015345275,0.000773245531771834
0.00214804350632524,0.00967714244427833,0.0463605073996932,0.0909549205500627,0.0517895063501186,0.00931364664696458,0.000793909714411101
0.00226813386708712,0.0103521795486278,0.0481181613861105,0.0911690586276024,0.0511106185713931,0.00915679519410221,0.0007451637820738
0.00185842178241804,0.00808693336768662,0.041987664122814,0.0903872176700234,0.0536414158843195,0.00974450980590763,0.000939832983974957
0.00184141039290328,0.00799527838752968,0.0417243753770955,0.0903512939081495,0.0537612031977788,0.00977252824465392,0.000949954661908492
0.00179347148637092,0.00773814412986291,0.0409780151791597,0.0902482277284585,0.0541067260926578,0.00985345248564224,0.000979661850132592
0.00180699801899969,0.0078105053711167,0.0411893469819744,0.0902776180618025,0.0540078862084356,0.00983028563776041,0.000971077329356014
0.00159784953613615,0.00670597803299114,0.037865319497756,0.0897988306724034,0.0556437166273145,0.0102151906811302,0.00112069655342421
0.00146773440382798,0.0060358551556434,0.0357279248293945,0.0894696951544755,0.0568021522735465,0.0104897449704672,0.00123726986278424
0.00183898826751666,0.00798225615485148,0.04168678194469,0.0903461352143772,0.0537784485952731,0.00977656447017553,0.000951423844037519
0.00138701125232338,0.00562714819663603,0.0343717331892339,0.0892511323783073,0.0575871530907353,0.0106767136014575,0.00132158566782353
0.0014001059046724,0.00569305715048387,0.0345934448907192,0.0892874274698909,0.0574558842757407,0.0106453955435941,0.00130716838868483
0.00142119627416607,0.00579961060052079,0.0349487702179631,0.0893450143937977,0.0572485389451369,0.0105959810829478,0.00128472167541909
