"ID","screen","male_ever_smoker_min_age","male_ever_smoker_max_age","male_ever_smoker_uptake","male_ever_smoker_pack_yrs","male_ever_smoker_quitting_period","male_ever_smoker_frequency","male_ever_smoker_family_history","male_never_smoker_min_age","male_never_smoker_max_age","male_never_smoker_uptake","male_never_smoker_frequency","male_never_smoker_family_history","female_ever_smoker_min_age","female_ever_smoker_max_age","female_ever_smoker_uptake","female_ever_smoker_pack_yrs","female_ever_smoker_quitting_period","female_ever_smoker_frequency","female_ever_smoker_family_history","female_never_smoker_min_age","female_never_smoker_max_age","female_never_smoker_uptake","female_never_smoker_frequency","female_never_smoker_family_history"
199,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,75,0.7,5,1
200,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,75,0.7,5,1
201,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,75,0.7,5,1
202,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,80,0.7,5,1
203,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,80,0.7,5,1
204,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,80,0.7,5,1
205,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,85,0.7,5,1
206,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,85,0.7,5,1
207,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,85,0.7,5,1
208,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,75,1,5,1
209,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,75,1,5,1
210,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,75,1,5,1
211,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,80,1,5,1
212,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,80,1,5,1
213,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,80,1,5,1
214,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,85,1,5,1
215,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,85,1,5,1
216,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,85,1,5,1
