"ID","screen","male_ever_smoker_min_age","male_ever_smoker_max_age","male_ever_smoker_uptake","male_ever_smoker_pack_yrs","male_ever_smoker_quitting_period","male_ever_smoker_frequency","male_ever_smoker_family_history","male_never_smoker_min_age","male_never_smoker_max_age","male_never_smoker_uptake","male_never_smoker_frequency","male_never_smoker_family_history","female_ever_smoker_min_age","female_ever_smoker_max_age","female_ever_smoker_uptake","female_ever_smoker_pack_yrs","female_ever_smoker_quitting_period","female_ever_smoker_frequency","female_ever_smoker_family_history","female_never_smoker_min_age","female_never_smoker_max_age","female_never_smoker_uptake","female_never_smoker_frequency","female_never_smoker_family_history"
101,1,50,80,1,20,15,1,1,55,75,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
102,1,50,80,1,20,15,1,1,60,75,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
103,1,50,80,1,20,15,1,1,50,80,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
104,1,50,80,1,20,15,1,1,55,80,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
105,1,50,80,1,20,15,1,1,60,80,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
106,1,50,80,1,20,15,1,1,50,85,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
107,1,50,80,1,20,15,1,1,55,85,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
108,1,50,80,1,20,15,1,1,60,85,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
109,1,50,80,1,20,15,1,1,50,75,0.4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
110,1,50,80,1,20,15,1,1,55,75,0.4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
111,1,50,80,1,20,15,1,1,60,75,0.4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
112,1,50,80,1,20,15,1,1,50,80,0.4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
113,1,50,80,1,20,15,1,1,55,80,0.4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
114,1,50,80,1,20,15,1,1,60,80,0.4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
115,1,50,80,1,20,15,1,1,50,85,0.4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
116,1,50,80,1,20,15,1,1,55,85,0.4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
117,1,50,80,1,20,15,1,1,60,85,0.4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
118,1,50,80,1,20,15,1,1,50,75,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
119,1,50,80,1,20,15,1,1,55,75,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
120,1,50,80,1,20,15,1,1,60,75,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
121,1,50,80,1,20,15,1,1,50,80,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
122,1,50,80,1,20,15,1,1,55,80,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
123,1,50,80,1,20,15,1,1,60,80,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
124,1,50,80,1,20,15,1,1,50,85,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
125,1,50,80,1,20,15,1,1,55,85,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
126,1,50,80,1,20,15,1,1,60,85,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
127,1,50,80,1,20,15,1,1,50,75,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
128,1,50,80,1,20,15,1,1,55,75,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
129,1,50,80,1,20,15,1,1,60,75,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
130,1,50,80,1,20,15,1,1,50,80,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
131,1,50,80,1,20,15,1,1,55,80,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
132,1,50,80,1,20,15,1,1,60,80,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
133,1,50,80,1,20,15,1,1,50,85,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
134,1,50,80,1,20,15,1,1,55,85,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
135,1,50,80,1,20,15,1,1,60,85,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
136,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,75,0.4,1,1
137,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,75,0.4,1,1
138,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,75,0.4,1,1
139,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,80,0.4,1,1
140,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,80,0.4,1,1
141,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,80,0.4,1,1
142,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,85,0.4,1,1
143,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,85,0.4,1,1
144,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,85,0.4,1,1
145,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,75,0.7,1,1
146,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,75,0.7,1,1
147,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,75,0.7,1,1
148,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,80,0.7,1,1
149,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,80,0.7,1,1
150,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,80,0.7,1,1
151,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,85,0.7,1,1
152,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,85,0.7,1,1
153,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,85,0.7,1,1
154,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,75,1,1,1
155,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,75,1,1,1
156,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,75,1,1,1
157,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,80,1,1,1
158,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,80,1,1,1
159,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,80,1,1,1
160,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,85,1,1,1
161,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,85,1,1,1
162,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,85,1,1,1
163,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,75,0.4,2,1
164,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,75,0.4,2,1
165,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,75,0.4,2,1
166,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,80,0.4,2,1
167,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,80,0.4,2,1
168,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,80,0.4,2,1
169,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,85,0.4,2,1
170,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,85,0.4,2,1
171,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,85,0.4,2,1
172,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,75,0.7,2,1
173,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,75,0.7,2,1
174,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,75,0.7,2,1
175,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,80,0.7,2,1
176,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,80,0.7,2,1
177,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,80,0.7,2,1
178,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,85,0.7,2,1
179,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,85,0.7,2,1
180,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,85,0.7,2,1
181,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,75,1,2,1
182,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,75,1,2,1
183,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,75,1,2,1
184,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,80,1,2,1
185,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,80,1,2,1
186,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,80,1,2,1
187,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,85,1,2,1
188,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,85,1,2,1
189,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,85,1,2,1
190,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,75,0.4,3,1
191,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,75,0.4,3,1
192,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,75,0.4,3,1
193,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,80,0.4,3,1
194,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,80,0.4,3,1
195,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,80,0.4,3,1
196,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,85,0.4,3,1
197,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,85,0.4,3,1
198,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,85,0.4,3,1
199,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,75,0.7,3,1
200,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,75,0.7,3,1
201,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,75,0.7,3,1
202,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,80,0.7,3,1
203,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,80,0.7,3,1
204,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,80,0.7,3,1
205,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,85,0.7,3,1
206,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,85,0.7,3,1
207,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,85,0.7,3,1
208,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,75,1,3,1
209,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,75,1,3,1
210,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,75,1,3,1
211,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,80,1,3,1
212,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,80,1,3,1
213,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,80,1,3,1
214,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,85,1,3,1
215,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,85,1,3,1
216,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,85,1,3,1
217,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,75,0.4,4,1
218,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,75,0.4,4,1
219,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,75,0.4,4,1
220,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,80,0.4,4,1
221,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,80,0.4,4,1
