sim_year,agent_race,agent_age,birth_prob
2005,malay,47,0.00043564444444444414
2005,indian,47,0.0002768380952380951
2005,other,47,0.00043564444444444414
2005,chinese,48,6.600000000000003e-05
2005,malay,48,0.00012180000000000002
2005,indian,48,7.740000000000001e-05
2005,other,48,0.00012180000000000002
2005,chinese,49,0.0
2005,malay,49,0.0
2005,indian,49,0.0
2005,other,49,0.0
2006,chinese,15,0.0
2006,malay,15,0.0
2006,indian,15,0.0
2006,other,15,0.0
2006,chinese,16,0.0026478269531249993
2006,malay,16,0.004818567968749998
2006,indian,16,0.003029495703124999
2006,other,16,0.004818567968749998
2006,chinese,17,0.005946651562500002
2006,malay,17,0.010821834375000002
2006,indian,17,0.006803826562500001
2006,other,17,0.010821834375000002
2006,chinese,18,0.00893367890625
2006,malay,18,0.0162576859375
2006,indian,18,0.01022141640625
2006,other,18,0.0162576859375
2006,chinese,19,0.011602578515625005
2006,malay,19,0.021114602343750007
2006,indian,19,0.013275022265625004
2006,other,19,0.021114602343750007
2006,chinese,20,0.014419463671875007
2006,malay,20,0.02624082578125001
2006,indian,20,0.016497944921875007
2006,other,20,0.02624082578125001
2006,chinese,21,0.018263835937500004
2006,malay,21,0.03323689062500001
2006,indian,21,0.020896460937500003
2006,other,21,0.03323689062500001
2006,chinese,22,0.024192363281250004
2006,malay,22,0.0440257421875
2006,indian,22,0.027679550781250003
2006,other,22,0.0440257421875
2006,chinese,23,0.0327597421875
2006,malay,23,0.059616828125
2006,indian,23,0.0374818671875
2006,other,23,0.059616828125
2006,chinese,24,0.04304428242187501
2006,malay,24,0.07833283828125001
2006,indian,24,0.049248863671875004
2006,other,24,0.07833283828125001
2006,chinese,25,0.053508373828125004
2006,malay,25,0.09737559921875
2006,indian,25,0.061221292578124996
2006,other,25,0.09737559921875
2006,chinese,26,0.0628563515625
2006,malay,26,0.114387234375
2006,indian,26,0.07191672656249999
2006,other,26,0.114387234375
2006,chinese,27,0.07086873046875
2006,malay,27,0.1289683203125
2006,indian,27,0.08108404296874999
2006,other,27,0.1289683203125
2006,chinese,28,0.07691866406250002
2006,malay,28,0.139978109375
2006,indian,28,0.0880060390625
2006,other,28,0.139978109375
2006,chinese,29,0.08098850507812501
2006,malay,29,0.14738448671874999
2006,indian,29,0.092662523828125
2006,other,29,0.14738448671874999
2006,chinese,30,0.084883434375
2006,malay,30,0.15447255624999998
2006,indian,30,0.09711888437499999
2006,other,30,0.15447255624999998
2006,chinese,31,0.08752003125
2006,malay,31,0.15927068749999998
2006,indian,31,0.10013553124999999
2006,other,31,0.15927068749999998
2006,chinese,32,0.08574403124999998
2006,malay,32,0.15603868749999994
2006,indian,32,0.09810353124999996
2006,other,32,0.15603868749999994
2006,chinese,33,0.0784284375
2006,malay,33,0.142725625
2006,indian,33,0.0897334375
2006,other,33,0.142725625
2006,chinese,34,0.067099846875
2006,malay,34,0.12210963124999998
2006,indian,34,0.07677189687499998
2006,other,34,0.12210963124999998
2006,chinese,35,0.053976351562500004
2006,malay,35,0.098227234375
2006,indian,35,0.0617567265625
2006,other,35,0.098227234375
2006,chinese,36,0.04157990625000001
2006,malay,36,0.0756679375
2006,indian,36,0.047573406250000005
2006,other,36,0.0756679375
2006,chinese,37,0.030929109375000007
2006,malay,37,0.05628540625
2006,indian,37,0.035387359375
2006,other,37,0.05628540625
2006,chinese,38,0.023282250000000015
2006,malay,38,0.042369500000000025
2006,indian,38,0.026638250000000013
2006,other,38,0.042369500000000025
2006,chinese,39,0.018033164062500006
2006,malay,39,0.03281710937500001
2006,indian,39,0.020632539062500004
2006,other,39,0.03281710937500001
2006,chinese,40,0.013100298046875005
2006,malay,40,0.023840182031250007
2006,indian,40,0.014988629296875004
2006,other,40,0.023840182031250007
2006,chinese,41,0.007947773437500001
2006,malay,41,0.014463515625000003
2006,indian,41,0.0090933984375
2006,other,41,0.014463515625000003
2006,chinese,42,0.00412217578125
2006,malay,42,0.0075016171874999985
2006,indian,42,0.004716363281249999
2006,other,42,0.0075016171874999985
2006,chinese,43,0.001828898437499999
2006,malay,43,0.0033282656249999975
2006,indian,43,0.0020925234374999987
2006,other,43,0.0033282656249999975
2006,chinese,44,0.0007508542968749994
2006,malay,44,0.0013664195312499986
2006,indian,44,0.0008590855468749992
2006,other,44,0.0013664195312499986
2006,chinese,45,0.0003933128906249998
2006,malay,45,0.0007157585937499995
2006,indian,45,0.00045000664062499974
2006,other,45,0.0007157585937499995
2006,chinese,46,0.00032424140625000056
2006,malay,46,0.0005900609375000009
2006,indian,46,0.00037097890625000055
2006,other,46,0.0005900609375000009
2006,chinese,47,0.00025790156250000046
2006,malay,47,0.0004693343750000008
2006,indian,47,0.0002950765625000005
2006,other,47,0.0004693343750000008
2006,chinese,48,7.574882812499988e-05
2006,malay,48,0.00013784921874999975
2006,indian,48,8.666757812499985e-05
2006,other,48,0.00013784921874999975
2006,chinese,49,0.0
2006,malay,49,0.0
2006,indian,49,0.0
2006,other,49,0.0
2007,chinese,15,0.0
2007,malay,15,0.0
2007,indian,15,0.0
2007,other,15,0.0
2007,chinese,16,0.002086995348837209
2007,malay,16,0.0035515534883720926
2007,indian,16,0.0022883720930232552
2007,other,16,0.0035515534883720926
2007,chinese,17,0.005431702325581395
2007,malay,17,0.009243423255813954
2007,indian,17,0.005955813953488372
2007,other,17,0.009243423255813954
2007,chinese,18,0.008659051162790699
2007,malay,18,0.014735578294573648
2007,indian,18,0.009494573643410855
2007,other,18,0.014735578294573648
2007,chinese,19,0.011742176744186044
2007,malay,19,0.019982300775193796
2007,indian,19,0.01287519379844961
2007,other,19,0.019982300775193796
2007,chinese,20,0.015061432558139534
2007,malay,20,0.025630858914728685
2007,indian,20,0.01651472868217054
2007,other,20,0.025630858914728685
2007,chinese,21,0.019353488372093025
2007,malay,21,0.032934883720930244
2007,indian,21,0.021220930232558145
2007,other,21,0.032934883720930244
2007,chinese,22,0.025507720930232555
2007,malay,22,0.043407875968992246
2007,indian,22,0.027968992248062013
2007,other,22,0.043407875968992246
2007,chinese,23,0.033980837209302325
2007,malay,23,0.05782703875968993
2007,indian,23,0.037259689922480625
2007,other,23,0.05782703875968993
2007,chinese,24,0.04395698604651162
2007,malay,24,0.07480399379844961
2007,indian,24,0.04819844961240309
2007,other,24,0.07480399379844961
2007,chinese,25,0.054013465116279066
2007,malay,25,0.0919176511627907
2007,indian,25,0.05922529069767442
2007,other,25,0.0919176511627907
2007,chinese,26,0.06307116279069767
2007,malay,26,0.10733162790697674
2007,indian,26,0.06915697674418604
2007,other,26,0.10733162790697674
2007,chinese,27,0.0710573488372093
2007,malay,27,0.12092215503875968
2007,indian,27,0.07791375968992247
2007,other,27,0.12092215503875968
2007,chinese,28,0.07745813953488372
2007,malay,28,0.13181472868217056
2007,indian,28,0.08493217054263566
2007,other,28,0.13181472868217056
