"","smoking_grp","stage","n","YEAR","predicted_cost","lower_CI","upper_CI","se"
"37","non-smokers","Stage II",1,17,405.158584415355,0,918.221827315079,261.766960663125
"38","non-smokers","Stage II",1,18,299.098534265708,0,709.002361889376,209.134605930442
"39","non-smokers","Stage II",1,19,220.802265189533,0,546.446160334234,166.144844461582
"40","non-smokers","Stage II",1,20,163.001936577589,0,420.439840898221,131.345869551343
"41","non-smokers","Stage III",1,1,57982.5328512575,39085.9973292446,76879.0683732704,9641.08955204741
"42","non-smokers","Stage III",1,2,43021.0154533047,31616.0074594446,54426.0234471648,5818.88162952045
"43","non-smokers","Stage III",1,3,31920.0414220176,25134.3044781308,38705.7783659044,3462.11068565655
"44","non-smokers","Stage III",1,4,23683.4438327864,19517.5201189791,27849.3675465938,2125.47128255477
"45","non-smokers","Stage III",1,5,17572.1291935676,14657.1726707278,20487.0857164074,1487.2227157346
"46","non-smokers","Stage III",1,6,13037.7268923065,10601.2843732385,15474.1694113744,1243.0829178918
"47","non-smokers","Stage III",1,7,9673.36270873867,7443.08747329333,11903.637944184,1137.89552828844
"48","non-smokers","Stage III",1,8,7177.14206938106,5119.10271061439,9235.18142814772,1050.0200810034
"49","non-smokers","Stage III",1,9,5325.06124462775,3464.06759966167,7186.05488959382,949.486553554119
"50","non-smokers","Stage III",1,10,3950.91063042128,2308.08844427784,5593.73281656473,838.174584767065
"51","non-smokers","Stage III",1,11,2931.36387189693,1511.80697627051,4350.92076752334,724.263722258376
"52","non-smokers","Stage III",1,12,2174.91483692364,969.881315809504,3379.94835803778,614.8130209766
"53","non-smokers","Stage III",1,13,1613.67020765306,605.537282571703,2621.80313273441,514.353533204773
"54","non-smokers","Stage III",1,14,1197.25678213233,363.906723235692,2030.60684102897,425.178601477876
"55","non-smokers","Stage III",1,15,888.30034511615,206.263022890279,1570.33766734202,347.978225625444
"56","non-smokers","Stage III",1,16,659.071232595663,105.528328333273,1212.61413685805,282.419849113464
"57","non-smokers","Stage III",1,17,488.995520516622,42.9242309682693,935.066810064974,227.58739262671
"58","non-smokers","Stage III",1,18,362.808460238195,5.53157880879024,720.0853416676,182.284123178268
"59","non-smokers","Stage III",1,19,269.184426641257,0,553.83194048151,145.228323387884
"60","non-smokers","Stage III",1,20,199.720413075842,0,425.456728230372,115.171589364556
"61","non-smokers","Stage IV",1,1,78297.4572869641,64684.3075926269,91910.6069813013,6945.48453792714
"62","non-smokers","Stage IV",1,2,70215.899408422,60930.7949480169,79501.0038688271,4737.29819408423
"63","non-smokers","Stage IV",1,3,61138.5982208667,50518.9320488512,71758.2643928822,5418.19702653853
"64","non-smokers","Stage IV",1,4,50116.0251231259,40309.5830591558,59922.467187096,5003.28676733168
"65","non-smokers","Stage IV",1,5,37773.1708283485,30097.1475694974,45449.1940871997,3916.33839737306
"66","non-smokers","Stage IV",1,6,25899.3699981863,19783.7051817293,32015.0348146433,3120.23715125358
"67","non-smokers","Stage IV",1,7,16202.9591090529,11924.24405787,20481.6741602358,2183.01788325657
"68","non-smokers","Stage IV",1,8,9389.54896718586,6946.15106938085,11832.9468649909,1246.63158051276
"69","non-smokers","Stage IV",1,9,5162.78942693,3583.43923380755,6742.13962005245,805.790914858391
"70","non-smokers","Stage IV",1,10,2768.97699442509,1458.36340889972,4079.59057995046,668.680400778251
"71","non-smokers","Stage IV",1,11,1479.16545548095,446.77812195008,2511.55278901182,526.728231393301
"72","non-smokers","Stage IV",1,12,790.158404744144,47.9511464350537,1532.36566305323,378.677172606679
"73","non-smokers","Stage IV",1,13,422.096326191449,0,923.228701800753,255.679783474134
"74","non-smokers","Stage IV",1,14,225.480495448262,0,549.801493163649,165.469896793565
"75","non-smokers","Stage IV",1,15,120.449884713125,0,324.157829351797,103.932624815649
"76","non-smokers","Stage IV",1,16,64.3433690287158,0,189.502259480002,63.8565767608604
"77","non-smokers","Stage IV",1,17,34.3717152392954,0,109.983306739793,38.5773426022947
"78","non-smokers","Stage IV",1,18,18.3610965096335,0,63.4367225541352,22.9977683900519
"79","non-smokers","Stage IV",1,19,9.80835150905277,0,36.3932305217011,13.5637137819634
"80","non-smokers","Stage IV",1,20,5.23954325247747,0,20.780922785324,7.92927527186047
"81","smokers","Stage I",1,1,29219.9441285376,18362.4383014418,40077.4499556335,5539.54378933461
"82","smokers","Stage I",1,2,12519.4042483503,9588.5787160654,15450.2297806351,1495.31914912493
"83","smokers","Stage I",1,3,6056.93881214687,4528.97931481785,7584.89830947589,779.571172106641
"84","smokers","Stage I",1,4,3615.89727846985,2640.36424336118,4591.43031357853,497.720936279936
"85","smokers","Stage I",1,5,2654.20557871607,2004.47016729906,3303.94099013308,331.49765888623
"86","smokers","Stage I",1,6,2163.33192704861,1599.0536716492,2727.61018244802,287.89706908133
"87","smokers","Stage I",1,7,1692.43085344724,1188.44035865185,2196.42134824262,257.138007548664
"88","smokers","Stage I",1,8,1137.58649210235,819.170981528786,1456.00200267592,162.45689314978
"89","smokers","Stage I",1,9,644.070225784361,454.464238273905,833.676213294817,96.7377487298244
"90","smokers","Stage I",1,10,328.997452046989,169.400838105638,488.59406598834,81.4268438476282
"91","smokers","Stage I",1,11,165.077915685072,39.943377083159,290.212454286986,63.844152347915
"92","smokers","Stage I",1,12,82.8295723184994,0,169.880778364914,44.413880635926
"93","smokers","Stage I",1,13,41.5606050148711,0,97.7070952599951,28.6461684924102
"94","smokers","Stage I",1,14,20.8534686447531,0,55.3484710600708,17.5994910282233
"95","smokers","Stage I",1,15,10.4634461977176,0,30.9623167945702,10.4586074473738
"96","smokers","Stage I",1,16,5.25014366663066,0,17.1420054020969,6.06727639564604
"97","smokers","Stage I",1,17,2.63431454603116,0,9.40892073297357,3.45643172803184
"98","smokers","Stage I",1,18,1.32179490087839,0,5.12691154860678,1.94138604475938
"99","smokers","Stage I",1,19,0.663224428768521,0,2.77635187134124,1.07812624621057
"100","smokers","Stage I",1,20,0.332779800121041,0,1.4954360743785,0.593191976661969
"101","smokers","Stage II",1,1,35600.572975154,21068.9338634604,50132.2120868475,7414.10158759874
"102","smokers","Stage II",1,2,24407.6331303483,16245.8698208694,32569.3964398272,4164.16495381577
"103","smokers","Stage II",1,3,16733.8036352684,12196.292873472,21271.3143970647,2315.05651112059
"104","smokers","Stage II",1,4,11472.6621767416,8863.19191257756,14082.1324409056,1331.36237967552
"105","smokers","Stage II",1,5,7865.64262177683,6170.64420218657,9560.64104136708,864.795112035845
"106","smokers","Stage II",1,6,5392.67597959802,4098.0145768044,6687.33738239164,660.541532037563
"107","smokers","Stage II",1,7,3697.20974866283,2617.18242661317,4777.2370707125,551.034347984523
"108","smokers","Stage II",1,8,2534.79695684503,1622.51996482123,3447.07394886883,465.447444910104
"109","smokers","Stage II",1,9,1737.84717665284,979.884997827869,2495.80935547781,386.715397359679
"110","smokers","Stage II",1,10,1191.46035269875,575.310816815476,1807.60988858203,314.362008103712
"111","smokers","Stage II",1,11,816.859831222777,325.965069064664,1307.75459338089,250.45651130516
