"ID","screen","male_ever_smoker_min_age","male_ever_smoker_max_age","male_ever_smoker_uptake","male_ever_smoker_pack_yrs","male_ever_smoker_quitting_period","male_ever_smoker_frequency","male_ever_smoker_family_history","male_never_smoker_min_age","male_never_smoker_max_age","male_never_smoker_uptake","male_never_smoker_frequency","male_never_smoker_family_history","female_ever_smoker_min_age","female_ever_smoker_max_age","female_ever_smoker_uptake","female_ever_smoker_pack_yrs","female_ever_smoker_quitting_period","female_ever_smoker_frequency","female_ever_smoker_family_history","female_never_smoker_min_age","female_never_smoker_max_age","female_never_smoker_uptake","female_never_smoker_frequency","female_never_smoker_family_history","Seed","Strategy","Smoking_ban_policy","Cost","QALY","Treatment_cost","Screen_cost","Life.Years","Total.Screens.Required","Total.number.of.screened.people","False.Positives","Total.cases.diagnosed","Total.Male.cases.diagnosed","Total.Female.cases.diagnosed","Total.screened.detected","Total.Male.screened.detected","Total.Female.screened.detected","Total.cases.diagnosed..80","Total.Male.cases.diagnosed..80","Total.Female.cases.diagnosed..80","Total.screened.detected..80","Total.Male.screened.detected..80","Total.Female.screened.detected..80","Late.cases.diagnosed","Late.Male.cases.diagnosed","Late.Female.cases.diagnosed","Total.deaths","Total.Male.deaths","Total.Female.deaths","Late.deaths","Late.Male.deaths","Late.Female.deaths","Base_Deaths","ICER","QALY_Gain","Additional_cost","Deaths_Averted","LYG","OverDiagnosis","OD_rate","FP_rate","LSA"
1696,1,0,0,0,0,0,0,0,50,80,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1696,"Baseline",11369694628.1,85628331.92,10041662855.12,1328031772.98,507323082,4426323,900679,1175712,182283,75963,106320,2652,2652,0,94090,41694,52396,2512,2512,0,137708,58187,79521,125646,56078,69568,110421,49086,61335,126461,548692.875221489,5376.8900000006,2950261233.85,815,9308,195,7.35294117647059,26.5618211775327,1029
1697,1,0,0,0,0,0,0,0,55,80,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1697,"Baseline",10721661559.8,85627665.12,9684247479.86,1037414079.95,507321519,3467886,774096,920399,182280,75960,106320,2494,2494,0,94087,41691,52396,2354,2354,0,137783,58262,79521,125704,56136,69568,110495,49160,61335,126461,488786.448995295,4710.09000000358,2302228165.55,757,7745,192,7.69847634322374,26.5406359955316,954
1698,1,0,0,0,0,0,0,0,60,80,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1698,"Baseline",10129878734.59,85626892.55,9358959065.98,770919668.61,507319888,2585801,643934,685888,182273,75953,106320,2273,2273,0,94080,41684,52396,2133,2133,0,137884,58363,79521,125792,56224,69568,110600,49265,61335,126461,434396.610135774,3937.51999999583,1710445340.34,669,6114,185,8.13902331720194,26.5251657030065,853
1699,1,0,0,0,0,0,0,0,50,85,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1699,"Baseline",11530318778.04,85628769.24,10133507612.15,1396811165.89,507323354,4673991,908646,1241427,182487,76167,106320,3344,3344,0,94090,41694,52396,2512,2512,0,137541,58020,79521,125550,55982,69568,110318,48983,61335,126461,535048.679664737,5814.20999999344,3110885383.79,911,9580,399,11.9318181818182,26.5603207194879,1196
1700,1,0,0,0,0,0,0,0,55,85,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1700,"Baseline",10882285709.74,85628102.44,9776092236.89,1106193472.85,507321791,3715554,782063,986114,182484,76164,106320,3186,3186,0,94087,41691,52396,2354,2354,0,137616,58095,79521,125608,56040,69568,110392,49057,61335,126461,478464.376354654,5147.40999999642,2462852315.49,853,8017,396,12.4293785310734,26.5401606328424,1121
1701,1,0,0,0,0,0,0,0,60,85,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1701,"Baseline",10290502884.53,85627329.87,9450803823.02,839699061.51,507320160,2833469,651901,751603,182477,76157,106320,2965,2965,0,94080,41684,52396,2133,2133,0,137717,58196,79521,125696,56128,69568,110497,49162,61335,126461,427688.66753492,4374.84000000358,1871069490.28,765,6386,389,13.1197301854975,26.5258945836358,1020
1702,1,0,0,0,0,0,0,0,50,75,0.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1702,"Baseline",9256743717.84,85624440.22,8879936836.81,376806881.03,507316545,1250735,673546,332173,182124,75804,106320,749,749,0,93648,41252,52396,749,749,0,138470,58949,79521,126246,56678,69568,111131,49796,61335,126461,563773.203153364,1485.18999999762,837310323.59,215,2771,36,4.8064085447263,26.5582237644265,267
1703,1,0,0,0,0,0,0,0,55,75,0.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1703,"Baseline",9055159332.88,85624276.2,8768551415.99,286607916.89,507316164,953620,555125,253212,182123,75803,106320,686,686,0,93647,41251,52396,686,686,0,138493,58972,79521,126262,56694,69568,111154,49819,61335,126461,481184.05551832,1321.17000000179,635725938.629999,199,2390,35,5.10204081632653,26.5527149178918,244
1704,1,0,0,0,0,0,0,0,60,75,0.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1704,"Baseline",8869630071.68,85623952.58,8666142001.3,203488070.38,507315429,678482,437922,179833,182118,75798,106320,592,592,0,93642,41246,52396,592,592,0,138533,59012,79521,126296,56728,69568,111196,49861,61335,126461,451302.368233517,997.54999999702,450196677.43,165,1655,30,5.06756756756757,26.5051983693009,204
1705,1,0,0,0,0,0,0,0,50,80,0.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1705,"Baseline",9336608292.92,85624702.54,8924005066.03,412603226.89,507316820,1375570,704211,365362,182155,75835,106320,1013,1013,0,93768,41372,52396,971,971,0,138383,58862,79521,126184,56616,69568,111055,49720,61335,126461,524846.724005691,1747.51000000536,917174898.67,277,3046,67,6.61401776900296,26.5607711712236,354
