"ID","screen","male_ever_smoker_min_age","male_ever_smoker_max_age","male_ever_smoker_uptake","male_ever_smoker_pack_yrs","male_ever_smoker_quitting_period","male_ever_smoker_frequency","male_ever_smoker_family_history","male_never_smoker_min_age","male_never_smoker_max_age","male_never_smoker_uptake","male_never_smoker_frequency","male_never_smoker_family_history","female_ever_smoker_min_age","female_ever_smoker_max_age","female_ever_smoker_uptake","female_ever_smoker_pack_yrs","female_ever_smoker_quitting_period","female_ever_smoker_frequency","female_ever_smoker_family_history","female_never_smoker_min_age","female_never_smoker_max_age","female_never_smoker_uptake","female_never_smoker_frequency","female_never_smoker_family_history","Seed","Strategy","Smoking_ban_policy","Cost","QALY","Treatment_cost","Screen_cost","Life.Years","Total.Screens.Required","Total.number.of.screened.people","False.Positives","Total.cases.diagnosed","Total.Male.cases.diagnosed","Total.Female.cases.diagnosed","Total.screened.detected","Total.Male.screened.detected","Total.Female.screened.detected","Total.cases.diagnosed..80","Total.Male.cases.diagnosed..80","Total.Female.cases.diagnosed..80","Total.screened.detected..80","Total.Male.screened.detected..80","Total.Female.screened.detected..80","Late.cases.diagnosed","Late.Male.cases.diagnosed","Late.Female.cases.diagnosed","Total.deaths","Total.Male.deaths","Total.Female.deaths","Late.deaths","Late.Male.deaths","Late.Female.deaths","Base_Deaths","ICER","QALY_Gain","Additional_cost","Deaths_Averted","LYG","OverDiagnosis","OD_rate","FP_rate","LSA"
18,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,5,15,1,0,0,0,0,0,0,7,18,"Moderate (50%)",8343419443.16,85799288.62,8173679407.17,169740035.99,507903228,502863,48332,132578,142958,57467,85491,2150,0,2150,74538,31545,42993,2035,0,2035,108496,45268,63228,60036,31982,28054,51905,27910,23995,60647,77631.4110070428,5166.65000000596,401094329.68,611,7541,155,7.2093023255814,26.3646360937273,730
19,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,10,15,1,0,0,0,0,0,0,7,19,"Moderate (50%)",8320386730.42,85799217.44,8161145138.17,159241592.24,507903075,470100,41906,123903,142958,57467,85491,2128,0,2128,74538,31545,42993,2013,0,2013,108503,45268,63235,60041,31982,28059,51915,27910,24005,60647,74195.6319907857,5095.46999999881,378061616.940001,606,7388,155,7.28383458646617,26.356732610083,723
20,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,15,15,1,0,0,0,0,0,0,7,20,"Moderate (50%)",8256444233.37,85798973.37,8126491784.9,129952448.47,507902670,380935,32028,100372,142958,57467,85491,2047,0,2047,74538,31545,42993,1932,0,1932,108533,45268,63265,60054,31982,28072,51946,27910,24036,60647,64748.1386588643,4851.40000000596,314119119.89,593,6983,155,7.57205666829507,26.3488521663801,693
21,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,0,0,0,0,0,0,7,21,"Moderate (50%)",8164097730.86,85798408.52,8075462768.46,88634962.4,507901641,259021,22785,68178,142949,57467,85482,1854,0,1854,74523,31545,42978,1740,0,1740,108603,45268,63335,60116,31982,28134,52037,27910,24127,60647,51736.8553685725,4286.54999999702,221772617.38,531,5954,146,7.87486515641856,26.3214179545288,623
22,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,25,15,1,0,0,0,0,0,0,7,22,"Moderate (50%)",8085772679.21,85797318.85,8030513365.99,55259313.22,507900024,161304,15259,42420,142927,57467,85460,1478,0,1478,74453,31545,42908,1374,0,1374,108747,45268,63479,60233,31982,28251,52215,27910,24305,60647,44871.1136264778,3196.87999999523,143447565.73,414,4337,124,8.38971583220568,26.2981699151912,479
23,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,30,15,1,0,0,0,0,0,0,7,23,"Moderate (50%)",8036011321.67,85796475.52,8000522608.39,35488713.28,507898887,103562,9432,27192,142890,57467,85423,1083,0,1083,74338,31545,42793,1003,0,1003,108868,45268,63600,60352,31982,28370,52374,27910,24464,60647,39806.3385906903,2353.54999999702,93686208.1900005,295,3200,87,8.03324099722992,26.2567350958846,358
24,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,35,15,1,0,0,0,0,0,0,7,24,"Moderate (50%)",8011453385.51,85796054.04,7985738114.18,25715271.33,507898311,74672,6277,19578,142869,57467,85402,883,0,883,74272,31545,42727,829,0,829,108935,45268,63667,60412,31982,28430,52465,27910,24555,60647,35779.3827499643,1932.07000000775,69128272.0300007,235,2624,66,7.47451868629672,26.2186629526462,291
25,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,1,20,1,0,0,0,0,0,0,7,25,"Moderate (50%)",8452477204.59,85799849.24,8233703986.67,218773217.93,507904168,660120,62197,174390,142977,57467,85510,2381,0,2381,74586,31545,43041,2247,0,2247,108403,45268,63135,59962,31982,27980,51795,27910,23885,60647,89074.2170546128,5727.26999999583,510152091.110001,685,8481,174,7.30785384292314,26.4179240138157,823
26,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,5,20,1,0,0,0,0,0,0,7,26,"Moderate (50%)",8442116591.57,85799847.68,8228117447.99,213999143.58,507904167,644534,58158,170246,142977,57467,85510,2377,0,2377,74586,31545,43041,2243,0,2243,108403,45268,63135,59962,31982,27980,51795,27910,23885,60647,87288.9961400895,5725.71000000834,499791478.09,685,8480,174,7.32015145140934,26.413812149553,823
27,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,10,20,1,0,0,0,0,0,0,7,27,"Moderate (50%)",8392983078.04,85799705.37,8201458972.38,191524105.66,507903873,573226,46915,151410,142976,57467,85509,2336,0,2336,74585,31545,43040,2202,0,2202,108418,45268,63150,59972,31982,27990,51814,27910,23904,60647,80713.8955760861,5583.40000000596,450657964.56,675,8186,173,7.40582191780822,26.4136658141815,808
