"YEAR","smoking_grp","stage","predicted_cost","se"
16,"non-smokers","Stage II",437.309059195288,261.878894907226
17,"non-smokers","Stage II",319.925010723045,207.856975291852
18,"non-smokers","Stage II",234.049604813775,164.021714632401
19,"non-smokers","Stage II",171.225179893502,128.774300640285
20,"non-smokers","Stage II",125.264309900842,100.649946400644
1,"non-smokers","Stage III",61837.7916314907,10139.4909212894
2,"non-smokers","Stage III",46732.5027301587,6435.15912160585
3,"non-smokers","Stage III",35316.9721741227,4156.23300497973
4,"non-smokers","Stage III",26689.8777945346,2867.95854536889
5,"non-smokers","Stage III",20170.0949549384,2214.25691073207
6,"non-smokers","Stage III",15242.8921616298,1889.37990732802
7,"non-smokers","Stage III",11519.2717318335,1688.44781745765
8,"non-smokers","Stage III",8705.2497561404,1518.16080218395
9,"non-smokers","Stage III",6578.64573539122,1350.69898866124
10,"non-smokers","Stage III",4971.54444510642,1183.90067516113
11,"non-smokers","Stage III",3757.04228420037,1022.55405521664
12,"non-smokers","Stage III",2839.23172791175,871.688315169858
13,"non-smokers","Stage III",2145.63377119309,734.717950831351
14,"non-smokers","Stage III",1621.47535716302,613.305357456037
15,"non-smokers","Stage III",1225.36397832001,507.73410656579
16,"non-smokers","Stage III",926.018932530274,417.35337687456
17,"non-smokers","Stage III",699.801102836537,340.954338936736
18,"non-smokers","Stage III",528.846189130397,277.04969518085
19,"non-smokers","Stage III",399.653973999341,224.065192542938
20,"non-smokers","Stage III",302.022217832571,180.461888831938
1,"non-smokers","Stage IV",77418.546937997,6639.05134335388
2,"non-smokers","Stage IV",68650.976192654,4534.61616023954
3,"non-smokers","Stage IV",59005.6755007033,5167.72011514055
4,"non-smokers","Stage IV",47599.9106869678,4753.76766521069
5,"non-smokers","Stage IV",35197.2079887487,3734.93229086679
6,"non-smokers","Stage IV",23631.4451430097,2953.71016446848
7,"non-smokers","Stage IV",14476.5918027142,2043.28390778426
8,"non-smokers","Stage IV",8226.84470416471,1165.66856205621
9,"non-smokers","Stage IV",4444.32508613803,727.884457565137
10,"non-smokers","Stage IV",2344.65979080393,570.516823749996
11,"non-smokers","Stage IV",1232.26773178016,434.439417695176
12,"non-smokers","Stage IV",647.635008175732,305.119600063668
13,"non-smokers","Stage IV",340.373356371884,202.003667865405
14,"non-smokers","Stage IV",178.887830746212,128.382389611658
15,"non-smokers","Stage IV",94.0169240336244,79.2461905109518
16,"non-smokers","Stage IV",49.4118686993553,47.8675763673309
17,"non-smokers","Stage IV",25.9690773066467,28.436489419772
18,"non-smokers","Stage IV",13.6484005545695,16.6724152982258
19,"non-smokers","Stage IV",7.17310189724358,9.67165368836239
20,"non-smokers","Stage IV",3.76992092388531,5.56150513967898
1,"smokers","Stage I",28444.3013624584,5292.34397261989
2,"smokers","Stage I",12036.0931051132,1453.5676566022
3,"smokers","Stage I",5771.23802353864,755.924045716649
4,"smokers","Stage I",3434.84494229026,482.639242020012
5,"smokers","Stage I",2526.98469810501,328.95339878058
6,"smokers","Stage I",2067.64266368587,288.180774251258
7,"smokers","Stage I",1618.5931068672,255.940803429768
8,"smokers","Stage I",1081.38037101925,163.133503727804
9,"smokers","Stage I",604.376355901821,95.2435751789008
10,"smokers","Stage I",303.538628463214,75.1554336423869
11,"smokers","Stage I",149.644028338184,56.9140639914067
12,"smokers","Stage I",73.7742518329701,38.679452601478
13,"smokers","Stage I",36.3705808641726,24.4524890965639
14,"smokers","Stage I",17.9306345985354,14.742627513432
15,"smokers","Stage I",8.83977240580455,8.60195403205081
16,"smokers","Stage I",4.35799278363553,4.90095881818716
17,"smokers","Stage I",2.14848304123175,2.74247785388763
18,"smokers","Stage I",1.05919849059724,1.51318794833993
19,"smokers","Stage I",0.522183057046749,0.825544117852332
20,"smokers","Stage I",0.257435360309975,0.446242933851132
